District	Region
Tomball ISD	9
Tornillo ISD	22
Trent ISD	6
Trenton ISD	25
Trinidad ISD	3
Trinity ISD	9
Troup ISD	21
Troy ISD	8
Tulia ISD	1
Tuloso-Midway ISD	14
Turkey-Quitaque ISD	16
Tyler ISD	21
Union Grove ISD	4
Union Hill ISD	4
United ISD	14
Utopia ISD	11
Uvalde Cons ISD	11
Valentine ISD	22
Valley Mills ISD	8
Valley View ISD (Hidalgo)	15
Valley View ISD (Cooke)	2
Van Alstyne ISD	25
Van ISD	21
Van Vleck ISD	13
Vega ISD	1
Venus ISD	30
Veribest ISD	6
Vernon ISD	7
Victoria ISD	14
Vidor ISD	10
Vysehrad ISD	18
Waco ISD	8
Waelder ISD	18
Walcott ISD	1
Wall ISD	6
Waller ISD	27
Walnut Bend ISD	2
Walnut Springs ISD	8
Warren ISD	10
Waskom ISD	4
Water Valley ISD	6
Waxahachie ISD	20
Weatherford ISD	30
Webb Cons ISD	14
Weimar ISD	18
Wellington ISD	1
Wellman-Union Cons ISD	16
Wells ISD	21
Weslaco ISD	28
West Hardin County Cons ISD	10
West ISD	8
West Orange-Cove Cons ISD	10
West Oso ISD	14
West Rusk ISD	21
West Sabine ISD	21
Westbrook ISD	6
Westhoff ISD	12
Westphalia ISD	8
Westwood ISD	21
Wharton ISD	13
Wheeler ISD	1
White Deer ISD	1
White Oak ISD	4
White Settlement ISD	30
Whiteface Cons ISD	16
Whitehouse ISD	21
Whitesboro ISD	25
Whitewright ISD	25
Whitharral ISD	16
Whitney ISD	8
Wichita Falls ISD	7
Wichita Falls ISD (5A)	6
Wildorado ISD	1
Willis ISD	9
Wills Point ISD	3
Wilson ISD	16
Wimberley ISD	18
Windthorst ISD	7
Winfield ISD	4
Wink-Loving ISD	6
Winnsboro ISD	4
Winona ISD	21
Winters ISD	6
Woden ISD	21
Wolfe City ISD	3
Woodsboro ISD	14
Woodson ISD	7
Woodville ISD	10
Wortham ISD	8
Wylie ISD (Collin)	25
Wylie ISD (Taylor)	6
Yantis ISD	4
Yoakum ISD	12
Yorktown ISD	12
Ysleta ISD	22
Zapata CountyISD	14
Zavalla ISD	21
Zephyr ISD	77
